epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1413.24,1.76786,0.84813,0.93957,0.87918,0.63713,0.70035,0.26282,2.22448,0.97998,1.10231,0.0014588,0.0014588,0.0014588
43,1446.7,1.76013,0.85481,0.94507,0.8742,0.59494,0.66466,0.25296,2.18233,1.04675,1.0951,0.0014456,0.0014456,0.0014456
44,1480.01,1.74359,0.83397,0.93936,0.88549,0.60759,0.67217,0.24884,2.27524,1.01346,1.11477,0.0014324,0.0014324,0.0014324
45,1513.3,1.71168,0.84672,0.92952,0.74415,0.65823,0.6716,0.2423,2.2132,1.07345,1.13813,0.0014192,0.0014192,0.0014192
46,1546.53,1.74518,0.86052,0.93755,0.88423,0.63713,0.69307,0.26003,2.2332,1.09939,1.11766,0.001406,0.001406,0.001406
47,1579.74,1.70276,0.86052,0.92908,0.91264,0.62447,0.70054,0.26454,2.16447,0.99375,1.06841,0.0013928,0.0013928,0.0013928
48,1613.26,1.70375,0.80834,0.9298,0.93537,0.59916,0.69919,0.25019,2.22425,1.04112,1.07871,0.0013796,0.0013796,0.0013796
49,1646.57,1.68574,0.83022,0.92964,0.89781,0.63713,0.71946,0.27848,2.20297,0.98978,1.10013,0.0013664,0.0013664,0.0013664
50,1679.93,1.67819,0.82611,0.9362,0.74149,0.67089,0.69934,0.26102,2.22863,1.02381,1.10947,0.0013532,0.0013532,0.0013532
51,1713.16,1.69165,0.81784,0.93308,0.85636,0.60371,0.68061,0.25398,2.24988,1.03136,1.116,0.00134,0.00134,0.00134
52,1746.6,1.70501,0.83034,0.92523,0.88736,0.63154,0.71262,0.27806,2.10566,0.98747,1.07048,0.0013268,0.0013268,0.0013268
53,1779.95,1.67984,0.7926,0.91578,0.87759,0.63525,0.70064,0.26414,2.19613,0.98264,1.09823,0.0013136,0.0013136,0.0013136
54,1813.23,1.69999,0.82561,0.9428,0.82181,0.64557,0.6815,0.26639,2.19502,0.99556,1.09762,0.0013004,0.0013004,0.0013004
55,1846.49,1.67287,0.78774,0.92366,0.88668,0.65401,0.73301,0.27012,2.17556,0.95937,1.08088,0.0012872,0.0012872,0.0012872
56,1879.77,1.64432,0.79285,0.93168,0.80546,0.64979,0.69536,0.24478,2.28234,1.05182,1.10937,0.001274,0.001274,0.001274
57,1913.06,1.66271,0.77862,0.93048,0.90536,0.67511,0.74242,0.28211,2.18684,0.94639,1.10215,0.0012608,0.0012608,0.0012608
58,1946.51,1.66334,0.78887,0.92039,0.84573,0.64135,0.70769,0.27815,2.16155,0.95783,1.0861,0.0012476,0.0012476,0.0012476
59,1979.83,1.68461,0.80632,0.9252,0.8106,0.61603,0.68582,0.26567,2.24613,1.01177,1.11381,0.0012344,0.0012344,0.0012344
60,2013.16,1.63161,0.78877,0.91903,0.88176,0.62934,0.71837,0.26648,2.21763,0.94014,1.11846,0.0012212,0.0012212,0.0012212
61,2046.58,1.63886,0.75935,0.92076,0.87692,0.68354,0.73725,0.26569,2.26252,0.97391,1.13651,0.001208,0.001208,0.001208
62,2079.84,1.6421,0.76717,0.91559,0.93948,0.64979,0.73193,0.27637,2.22566,0.95921,1.11379,0.0011948,0.0011948,0.0011948
63,2113.09,1.62193,0.78519,0.90529,0.9076,0.63291,0.72227,0.27587,2.15084,1.00014,1.08684,0.0011816,0.0011816,0.0011816
64,2146.46,1.63829,0.77275,0.91843,0.88552,0.68537,0.7301,0.24968,2.23478,0.96625,1.10501,0.0011684,0.0011684,0.0011684
65,2179.7,1.61548,0.76923,0.91689,0.85344,0.63713,0.69491,0.26059,2.2982,1.00082,1.12999,0.0011552,0.0011552,0.0011552
66,2212.87,1.59603,0.7575,0.90741,0.88737,0.63163,0.70803,0.27762,2.18277,1.01497,1.09205,0.001142,0.001142,0.001142
67,2246.19,1.58149,0.73862,0.90802,0.82417,0.62869,0.67503,0.26211,2.21482,1.00204,1.09979,0.0011288,0.0011288,0.0011288
68,2279.42,1.62613,0.73746,0.92451,0.85623,0.66245,0.72749,0.27023,2.19701,0.94753,1.10066,0.0011156,0.0011156,0.0011156
69,2312.75,1.59531,0.7442,0.91644,0.84859,0.68776,0.72134,0.27033,2.19389,0.98261,1.10883,0.0011024,0.0011024,0.0011024
70,2346,1.55918,0.73873,0.90446,0.85968,0.68354,0.72267,0.28786,2.17888,0.91103,1.11403,0.0010892,0.0010892,0.0010892
71,2379.49,1.56874,0.72785,0.90542,0.87124,0.6962,0.74558,0.27462,2.25074,0.98355,1.11498,0.001076,0.001076,0.001076
72,2412.99,1.55197,0.73107,0.89985,0.87702,0.67511,0.72936,0.28849,2.21459,0.94347,1.10942,0.0010628,0.0010628,0.0010628
73,2446.28,1.56912,0.72467,0.91468,0.85197,0.64135,0.72886,0.29582,2.1874,0.90889,1.09547,0.0010496,0.0010496,0.0010496
74,2479.68,1.55534,0.71147,0.90929,0.90077,0.64979,0.72988,0.28163,2.18851,0.95986,1.10552,0.0010364,0.0010364,0.0010364
75,2513.42,1.5716,0.72509,0.89966,0.88459,0.62025,0.71728,0.27613,2.20554,0.97963,1.11182,0.0010232,0.0010232,0.0010232
76,2546.78,1.54741,0.71574,0.90717,0.83906,0.67932,0.74589,0.29736,2.18398,0.93648,1.1084,0.00101,0.00101,0.00101
77,2580.14,1.53023,0.70741,0.90056,0.92884,0.6058,0.71511,0.27756,2.21158,0.94969,1.11026,0.0009968,0.0009968,0.0009968
78,2613.46,1.53445,0.6918,0.90635,0.88976,0.66245,0.73591,0.27845,2.24209,0.93103,1.10317,0.0009836,0.0009836,0.0009836
79,2646.8,1.55229,0.71171,0.9038,0.85781,0.66185,0.73002,0.28475,2.17911,0.91248,1.08447,0.0009704,0.0009704,0.0009704
